t,u,v,w,p,q,r,X,Y,Z,phi,theta,psi,u_dot,v_dot,w_dot,p_dot,q_dot,r_dot
34.1,0.88493,0.10606,-0.0027012,-0.00042428,-0.00058277,-0.032111,30.217,-8.7136,-0.99728,0.008794,-0.01335,-0.8942,-0.0027554,2.77E-05,-5.42E-05,-1.36E-05,2.78E-05,5.44E-05
34.2,0.88466,0.10606,-0.0027066,-0.00042562,-0.00058,-0.032106,30.281,-8.7759,-1.0044,0.0087944,-0.01338,-0.89741,-0.0027455,2.36E-05,-5.39E-05,-1.34E-05,2.77E-05,5.48E-05
34.3,0.88438,0.10606,-0.002712,-0.00042695,-0.00057724,-0.0321,30.344,-8.8385,-1.0115,0.0087948,-0.01341,-0.90062,-0.0027357,1.97E-05,-5.36E-05,-1.33E-05,2.76E-05,5.52E-05
34.4,0.88411,0.10606,-0.0027173,-0.00042826,-0.0005745,-0.032095,30.407,-8.9012,-1.0186,0.0087952,-0.013439,-0.90383,-0.0027259,1.58E-05,-5.32E-05,-1.31E-05,2.74E-05,5.55E-05
34.5,0.88384,0.10606,-0.0027226,-0.00042956,-0.00057177,-0.032089,30.47,-8.9641,-1.0257,0.0087955,-0.013469,-0.90704,-0.0027161,1.19E-05,-5.29E-05,-1.30E-05,2.73E-05,5.59E-05
34.6,0.88357,0.10606,-0.0027278,-0.00043084,-0.00056905,-0.032083,30.533,-9.0272,-1.0329,0.0087958,-0.013497,-0.91025,-0.0027064,8.11E-06,-5.25E-05,-1.28E-05,2.72E-05,5.62E-05
34.7,0.8833,0.10606,-0.0027331,-0.00043211,-0.00056634,-0.032078,30.596,-9.0904,-1.0401,0.008796,-0.013526,-0.91346,-0.0026967,4.37E-06,-5.22E-05,-1.27E-05,2.71E-05,5.66E-05
34.8,0.88303,0.10606,-0.0027382,-0.00043336,-0.00056365,-0.032072,30.658,-9.1539,-1.0473,0.0087962,-0.013555,-0.91667,-0.0026869,6.84E-07,-5.18E-05,-1.25E-05,2.69E-05,5.69E-05
34.9,0.88276,0.10606,-0.0027434,-0.0004346,-0.00056097,-0.032066,30.72,-9.2175,-1.0545,0.0087963,-0.013583,-0.91988,-0.0026773,-2.95E-06,-5.15E-05,-1.24E-05,2.68E-05,5.72E-05
35,0.88249,0.10606,-0.0027485,-0.00043582,-0.0005583,-0.032061,30.782,-9.2813,-1.0618,0.0087964,-0.013611,-0.92309,-0.0026676,-6.53E-06,-5.11E-05,-1.22E-05,2.67E-05,5.75E-05
35.1,0.88223,0.10606,-0.0027536,-0.00043703,-0.00055564,-0.032055,30.844,-9.3452,-1.069,0.0087965,-0.013638,-0.92629,-0.0026579,-1.01E-05,-5.08E-05,-1.21E-05,2.66E-05,5.78E-05
35.2,0.88196,0.10606,-0.0027586,-0.00043823,-0.000553,-0.032049,30.905,-9.4094,-1.0763,0.0087965,-0.013666,-0.9295,-0.0026483,-1.35E-05,-5.05E-05,-1.20E-05,2.64E-05,5.81E-05
35.3,0.8817,0.10606,-0.0027636,-0.00043941,-0.00055037,-0.032043,30.967,-9.4737,-1.0836,0.0087965,-0.013693,-0.93271,-0.0026387,-1.69E-05,-5.01E-05,-1.18E-05,2.63E-05,5.84E-05
35.4,0.88144,0.10606,-0.0027686,-0.00044058,-0.00054776,-0.032037,31.028,-9.5382,-1.0909,0.0087964,-0.01372,-0.93591,-0.0026292,-2.03E-05,-4.98E-05,-1.17E-05,2.62E-05,5.87E-05
35.5,0.88118,0.10605,-0.0027736,-0.00044174,-0.00054515,-0.032031,31.088,-9.6029,-1.0982,0.0087963,-0.013746,-0.93911,-0.0026196,-2.36E-05,-4.94E-05,-1.15E-05,2.60E-05,5.90E-05
35.6,0.88091,0.10605,-0.0027785,-0.00044288,-0.00054256,-0.032026,31.149,-9.6677,-1.1056,0.0087962,-0.013773,-0.94232,-0.0026101,-2.69E-05,-4.91E-05,-1.14E-05,2.59E-05,5.92E-05
35.7,0.88065,0.10605,-0.0027833,-0.000444,-0.00053998,-0.03202,31.209,-9.7327,-1.113,0.008796,-0.013799,-0.94552,-0.0026006,-3.01E-05,-4.88E-05,-1.13E-05,2.58E-05,5.95E-05
35.8,0.8804,0.10605,-0.0027882,-0.00044512,-0.00053742,-0.032014,31.27,-9.7979,-1.1203,0.0087958,-0.013824,-0.94872,-0.0025911,-3.33E-05,-4.84E-05,-1.11E-05,2.56E-05,5.98E-05
35.9,0.88014,0.10604,-0.002793,-0.00044622,-0.00053487,-0.032008,31.329,-9.8633,-1.1277,0.0087956,-0.01385,-0.95193,-0.0025816,-3.64E-05,-4.81E-05,-1.10E-05,2.55E-05,6.00E-05
36,0.87988,0.10604,-0.0027978,-0.00044731,-0.00053233,-0.032002,31.389,-9.9288,-1.1352,0.0087953,-0.013875,-0.95513,-0.0025722,-3.95E-05,-4.77E-05,-1.09E-05,2.54E-05,6.03E-05
36.1,0.87962,0.10603,-0.0028025,-0.00044838,-0.00052981,-0.031996,31.449,-9.9945,-1.1426,0.008795,-0.0139,-0.95833,-0.0025628,-4.25E-05,-4.74E-05,-1.07E-05,2.52E-05,6.05E-05
36.2,0.87937,0.10603,-0.0028072,-0.00044944,-0.0005273,-0.031989,31.508,-10.06,-1.1501,0.0087946,-0.013925,-0.96153,-0.0025534,-4.55E-05,-4.71E-05,-1.06E-05,2.51E-05,6.07E-05
36.3,0.87911,0.10602,-0.0028119,-0.00045049,-0.0005248,-0.031983,31.567,-10.126,-1.1575,0.0087942,-0.01395,-0.96473,-0.002544,-4.85E-05,-4.67E-05,-1.05E-05,2.50E-05,6.10E-05
36.4,0.87886,0.10602,-0.0028165,-0.00045152,-0.00052232,-0.031977,31.626,-10.193,-1.165,0.0087938,-0.013974,-0.96793,-0.0025347,-5.13E-05,-4.64E-05,-1.04E-05,2.48E-05,6.12E-05
36.5,0.87861,0.10601,-0.0028211,-0.00045255,-0.00051985,-0.031971,31.684,-10.259,-1.1725,0.0087933,-0.013998,-0.97113,-0.0025254,-5.42E-05,-4.61E-05,-1.02E-05,2.47E-05,6.14E-05
36.6,0.87836,0.10601,-0.0028257,-0.00045356,-0.00051739,-0.031965,31.743,-10.326,-1.18,0.0087928,-0.014022,-0.97432,-0.0025161,-5.70E-05,-4.57E-05,-1.01E-05,2.46E-05,6.16E-05
36.7,0.87811,0.106,-0.0028303,-0.00045456,-0.00051495,-0.031959,31.801,-10.392,-1.1876,0.0087923,-0.014046,-0.97752,-0.0025068,-5.98E-05,-4.54E-05,-9.98E-06,2.44E-05,6.18E-05
36.8,0.87786,0.106,-0.0028348,-0.00045554,-0.00051252,-0.031953,31.859,-10.459,-1.1951,0.0087917,-0.014069,-0.98072,-0.0024976,-6.25E-05,-4.51E-05,-9.85E-06,2.43E-05,6.20E-05
36.9,0.87761,0.10599,-0.0028392,-0.00045651,-0.0005101,-0.031946,31.916,-10.526,-1.2027,0.0087912,-0.014092,-0.98391,-0.0024884,-6.51E-05,-4.48E-05,-9.73E-06,2.42E-05,6.22E-05
37,0.87736,0.10598,-0.0028437,-0.00045747,-0.0005077,-0.03194,31.974,-10.593,-1.2103,0.0087905,-0.014115,-0.98711,-0.0024792,-6.78E-05,-4.44E-05,-9.61E-06,2.40E-05,6.24E-05
37.1,0.87711,0.10598,-0.0028481,-0.00045842,-0.00050531,-0.031934,32.031,-10.661,-1.2179,0.0087899,-0.014138,-0.9903,-0.00247,-7.04E-05,-4.41E-05,-9.49E-06,2.39E-05,6.26E-05
37.2,0.87687,0.10597,-0.0028525,-0.00045936,-0.00050294,-0.031928,32.088,-10.728,-1.2255,0.0087892,-0.01416,-0.9935,-0.0024609,-7.29E-05,-4.38E-05,-9.37E-06,2.38E-05,6.27E-05
37.3,0.87662,0.10596,-0.0028568,-0.00046028,-0.00050058,-0.031921,32.145,-10.796,-1.2332,0.0087885,-0.014183,-0.99669,-0.0024518,-7.54E-05,-4.35E-05,-9.25E-06,2.36E-05,6.29E-05
37.4,0.87638,0.10595,-0.0028611,-0.0004612,-0.00049823,-0.031915,32.201,-10.864,-1.2408,0.0087877,-0.014205,-0.99988,-0.0024427,-7.79E-05,-4.31E-05,-9.13E-06,2.35E-05,6.31E-05
37.5,0.87613,0.10595,-0.0028654,-0.0004621,-0.00049589,-0.031909,32.257,-10.932,-1.2485,0.0087869,-0.014226,-1.0031,-0.0024336,-8.03E-05,-4.28E-05,-9.01E-06,2.33E-05,6.32E-05
37.6,0.87589,0.10594,-0.0028697,-0.00046299,-0.00049357,-0.031902,32.313,-11,-1.2562,0.0087861,-0.014248,-1.0063,-0.0024246,-8.27E-05,-4.25E-05,-8.90E-06,2.32E-05,6.34E-05
37.7,0.87565,0.10593,-0.0028739,-0.00046387,-0.00049127,-0.031896,32.369,-11.068,-1.2639,0.0087853,-0.014269,-1.0095,-0.0024156,-8.51E-05,-4.22E-05,-8.78E-06,2.31E-05,6.35E-05
37.8,0.87541,0.10592,-0.0028781,-0.00046473,-0.00048897,-0.03189,32.425,-11.137,-1.2716,0.0087844,-0.01429,-1.0126,-0.0024066,-8.74E-05,-4.19E-05,-8.67E-06,2.29E-05,6.37E-05
37.9,0.87517,0.10591,-0.0028822,-0.00046559,-0.00048669,-0.031883,32.48,-11.205,-1.2794,0.0087835,-0.014311,-1.0158,-0.0023976,-8.96E-05,-4.15E-05,-8.55E-06,2.28E-05,6.38E-05
38,0.87493,0.1059,-0.0028863,-0.00046643,-0.00048443,-0.031877,32.535,-11.274,-1.2871,0.0087826,-0.014332,-1.019,-0.0023887,-9.19E-05,-4.12E-05,-8.44E-06,2.27E-05,6.40E-05
38.1,0.87469,0.10589,-0.0028904,-0.00046727,-0.00048217,-0.03187,32.59,-11.343,-1.2949,0.0087817,-0.014352,-1.0222,-0.0023798,-9.41E-05,-4.09E-05,-8.33E-06,2.25E-05,6.41E-05
38.2,0.87445,0.10588,-0.0028945,-0.00046809,-0.00047994,-0.031864,32.645,-11.412,-1.3027,0.0087807,-0.014373,-1.0254,-0.0023709,-9.63E-05,-4.06E-05,-8.22E-06,2.24E-05,6.42E-05
38.3,0.87422,0.10587,-0.0028985,-0.0004689,-0.00047771,-0.031858,32.699,-11.481,-1.3104,0.0087797,-0.014393,-1.0286,-0.002362,-9.84E-05,-4.03E-05,-8.11E-06,2.23E-05,6.43E-05
38.4,0.87398,0.10586,-0.0029025,-0.0004697,-0.0004755,-0.031851,32.753,-11.551,-1.3183,0.0087787,-0.014412,-1.0318,-0.0023532,-0.00010048,-4.00E-05,-8.00E-06,2.21E-05,6.45E-05
38.5,0.87375,0.10585,-0.0029065,-0.00047049,-0.0004733,-0.031845,32.807,-11.62,-1.3261,0.0087776,-0.014432,-1.035,-0.0023444,-0.00010254,-3.97E-05,-7.89E-06,2.20E-05,6.46E-05
38.6,0.87352,0.10584,-0.0029104,-0.00047127,-0.00047112,-0.031838,32.861,-11.69,-1.3339,0.0087765,-0.014451,-1.0381,-0.0023356,-0.00010456,-3.93E-05,-7.79E-06,2.18E-05,6.47E-05
38.7,0.87328,0.10583,-0.0029143,-0.00047203,-0.00046895,-0.031832,32.914,-11.76,-1.3418,0.0087754,-0.014471,-1.0413,-0.0023268,-0.00010655,-3.90E-05,-7.68E-06,2.17E-05,6.48E-05
38.8,0.87305,0.10582,-0.0029182,-0.00047279,-0.00046679,-0.031825,32.968,-11.83,-1.3497,0.0087743,-0.01449,-1.0445,-0.0023181,-0.00010851,-3.87E-05,-7.58E-06,2.16E-05,6.49E-05
38.9,0.87282,0.10581,-0.002922,-0.00047354,-0.00046464,-0.031819,33.021,-11.9,-1.3575,0.0087731,-0.014508,-1.0477,-0.0023094,-0.00011043,-3.84E-05,-7.47E-06,2.14E-05,6.50E-05
39,0.87259,0.1058,-0.0029258,-0.00047428,-0.00046251,-0.031812,33.073,-11.97,-1.3654,0.0087719,-0.014527,-1.0509,-0.0023007,-0.00011233,-3.81E-05,-7.37E-06,2.13E-05,6.51E-05
39.1,0.87236,0.10579,-0.0029296,-0.000475,-0.0004604,-0.031806,33.126,-12.041,-1.3734,0.0087707,-0.014545,-1.0541,-0.002292,-0.00011419,-3.78E-05,-7.27E-06,2.12E-05,6.52E-05
39.2,0.87213,0.10578,-0.0029334,-0.00047572,-0.00045829,-0.031799,33.178,-12.112,-1.3813,0.0087695,-0.014563,-1.0572,-0.0022834,-0.00011601,-3.75E-05,-7.17E-06,2.10E-05,6.52E-05
39.3,0.8719,0.10576,-0.0029371,-0.00047643,-0.0004562,-0.031793,33.23,-12.182,-1.3892,0.0087682,-0.014581,-1.0604,-0.0022748,-0.00011781,-3.72E-05,-7.07E-06,2.09E-05,6.53E-05
39.4,0.87168,0.10575,-0.0029408,-0.00047712,-0.00045413,-0.031786,33.282,-12.253,-1.3972,0.008767,-0.014599,-1.0636,-0.0022662,-0.00011957,-3.69E-05,-6.97E-06,2.08E-05,6.54E-05
39.5,0.87145,0.10574,-0.0029445,-0.00047781,-0.00045206,-0.03178,33.334,-12.324,-1.4052,0.0087657,-0.014617,-1.0668,-0.0022576,-0.00012131,-3.66E-05,-6.87E-06,2.06E-05,6.55E-05
39.6,0.87123,0.10573,-0.0029481,-0.00047849,-0.00045001,-0.031773,33.385,-12.395,-1.4132,0.0087643,-0.014634,-1.07,-0.0022491,-0.00012301,-3.63E-05,-6.77E-06,2.05E-05,6.55E-05
39.7,0.871,0.10571,-0.0029517,-0.00047916,-0.00044798,-0.031766,33.436,-12.467,-1.4212,0.008763,-0.014651,-1.0731,-0.0022406,-0.00012468,-3.60E-05,-6.67E-06,2.04E-05,6.56E-05
39.8,0.87078,0.1057,-0.0029553,-0.00047981,-0.00044595,-0.03176,33.487,-12.538,-1.4292,0.0087616,-0.014668,-1.0763,-0.0022321,-0.00012633,-3.57E-05,-6.58E-06,2.02E-05,6.57E-05
39.9,0.87056,0.10569,-0.0029588,-0.00048046,-0.00044394,-0.031753,33.538,-12.61,-1.4372,0.0087602,-0.014685,-1.0795,-0.0022237,-0.00012794,-3.54E-05,-6.48E-06,2.01E-05,6.57E-05
40,0.87034,0.10568,-0.0029623,-0.0004811,-0.00044195,-0.031747,33.588,-12.682,-1.4452,0.0087588,-0.014701,-1.0827,-0.0022152,-0.00012953,-3.51E-05,-6.39E-06,2.00E-05,6.58E-05
40.1,0.87012,0.10566,-0.0029658,-0.00048173,-0.00043996,-0.03174,33.638,-12.754,-1.4533,0.0087574,-0.014718,-1.0858,-0.0022068,-0.00013109,-3.48E-05,-6.30E-06,1.98E-05,6.58E-05
40.2,0.8699,0.10565,-0.0029692,-0.00048235,-0.00043799,-0.031734,33.688,-12.826,-1.4614,0.0087559,-0.014734,-1.089,-0.0021984,-0.00013262,-3.46E-05,-6.20E-06,1.97E-05,6.59E-05
40.3,0.86968,0.10564,-0.0029727,-0.00048296,-0.00043604,-0.031727,33.738,-12.898,-1.4695,0.0087545,-0.01475,-1.0922,-0.0021901,-0.00013412,-3.43E-05,-6.11E-06,1.96E-05,6.59E-05
40.4,0.86946,0.10562,-0.0029761,-0.00048356,-0.00043409,-0.03172,33.787,-12.97,-1.4775,0.008753,-0.014766,-1.0954,-0.0021818,-0.00013559,-3.40E-05,-6.02E-06,1.94E-05,6.59E-05
40.5,0.86924,0.10561,-0.0029794,-0.00048416,-0.00043216,-0.031714,33.836,-13.043,-1.4857,0.0087515,-0.014781,-1.0985,-0.0021735,-0.00013704,-3.37E-05,-5.93E-06,1.93E-05,6.60E-05
40.6,0.86902,0.1056,-0.0029828,-0.00048474,-0.00043024,-0.031707,33.885,-13.115,-1.4938,0.0087499,-0.014797,-1.1017,-0.0021652,-0.00013846,-3.34E-05,-5.84E-06,1.92E-05,6.60E-05
40.7,0.86881,0.10558,-0.0029861,-0.00048532,-0.00042834,-0.031701,33.934,-13.188,-1.5019,0.0087484,-0.014812,-1.1049,-0.0021569,-0.00013985,-3.31E-05,-5.75E-06,1.90E-05,6.60E-05
40.8,0.86859,0.10557,-0.0029894,-0.00048588,-0.00042645,-0.031694,33.982,-13.261,-1.5101,0.0087468,-0.014827,-1.1081,-0.0021487,-0.00014122,-3.28E-05,-5.66E-06,1.89E-05,6.61E-05
40.9,0.86838,0.10555,-0.0029926,-0.00048644,-0.00042457,-0.031687,34.031,-13.334,-1.5182,0.0087452,-0.014842,-1.1112,-0.0021405,-0.00014256,-3.26E-05,-5.58E-06,1.88E-05,6.61E-05
41,0.86817,0.10554,-0.0029959,-0.00048699,-0.0004227,-0.031681,34.079,-13.407,-1.5264,0.0087436,-0.014857,-1.1144,-0.0021323,-0.00014387,-3.23E-05,-5.49E-06,1.87E-05,6.61E-05
41.1,0.86795,0.10552,-0.0029991,-0.00048753,-0.00042085,-0.031674,34.126,-13.48,-1.5346,0.008742,-0.014872,-1.1176,-0.0021242,-0.00014516,-3.20E-05,-5.41E-06,1.85E-05,6.61E-05
41.2,0.86774,0.10551,-0.0030022,-0.00048806,-0.00041901,-0.031668,34.174,-13.554,-1.5428,0.0087404,-0.014886,-1.1207,-0.0021161,-0.00014643,-3.17E-05,-5.32E-06,1.84E-05,6.61E-05
41.3,0.86753,0.10549,-0.0030054,-0.00048858,-0.00041718,-0.031661,34.221,-13.627,-1.551,0.0087387,-0.0149,-1.1239,-0.002108,-0.00014767,-3.14E-05,-5.24E-06,1.83E-05,6.61E-05
41.4,0.86732,0.10548,-0.0030085,-0.0004891,-0.00041537,-0.031654,34.268,-13.701,-1.5592,0.008737,-0.014914,-1.1271,-0.0020999,-0.00014889,-3.12E-05,-5.15E-06,1.82E-05,6.61E-05
41.5,0.86711,0.10546,-0.0030116,-0.00048961,-0.00041356,-0.031648,34.315,-13.775,-1.5674,0.0087353,-0.014928,-1.1302,-0.0020919,-0.00015008,-3.09E-05,-5.07E-06,1.80E-05,6.61E-05
41.6,0.8669,0.10545,-0.0030146,-0.00049011,-0.00041177,-0.031641,34.361,-13.848,-1.5757,0.0087336,-0.014942,-1.1334,-0.0020838,-0.00015125,-3.06E-05,-4.99E-06,1.79E-05,6.61E-05
41.7,0.8667,0.10543,-0.0030177,-0.0004906,-0.00041,-0.031634,34.408,-13.923,-1.5839,0.0087319,-0.014955,-1.1366,-0.0020759,-0.0001524,-3.04E-05,-4.91E-06,1.78E-05,6.61E-05
41.8,0.86649,0.10542,-0.0030207,-0.00049108,-0.00040823,-0.031628,34.454,-13.997,-1.5922,0.0087302,-0.014969,-1.1397,-0.0020679,-0.00015352,-3.01E-05,-4.83E-06,1.76E-05,6.61E-05
41.9,0.86628,0.1054,-0.0030237,-0.00049156,-0.00040648,-0.031621,34.499,-14.071,-1.6005,0.0087284,-0.014982,-1.1429,-0.0020599,-0.00015462,-2.98E-05,-4.75E-06,1.75E-05,6.61E-05
42,0.86608,0.10539,-0.0030266,-0.00049202,-0.00040474,-0.031615,34.545,-14.145,-1.6088,0.0087266,-0.014995,-1.146,-0.002052,-0.0001557,-2.96E-05,-4.67E-06,1.74E-05,6.61E-05
42.1,0.86587,0.10537,-0.0030296,-0.00049248,-0.00040301,-0.031608,34.59,-14.22,-1.6171,0.0087248,-0.015008,-1.1492,-0.0020441,-0.00015676,-2.93E-05,-4.59E-06,1.73E-05,6.61E-05
42.2,0.86567,0.10536,-0.0030325,-0.00049293,-0.0004013,-0.031601,34.635,-14.295,-1.6254,0.008723,-0.015021,-1.1524,-0.0020363,-0.00015779,-2.90E-05,-4.52E-06,1.72E-05,6.61E-05
42.3,0.86547,0.10534,-0.0030353,-0.00049338,-0.00039959,-0.031595,34.68,-14.369,-1.6337,0.0087212,-0.015033,-1.1555,-0.0020284,-0.00015881,-2.88E-05,-4.44E-06,1.70E-05,6.61E-05
42.4,0.86527,0.10532,-0.0030382,-0.00049381,-0.0003979,-0.031588,34.725,-14.444,-1.6421,0.0087194,-0.015046,-1.1587,-0.0020206,-0.0001598,-2.85E-05,-4.37E-06,1.69E-05,6.60E-05
42.5,0.86506,0.10531,-0.003041,-0.00049424,-0.00039623,-0.031582,34.769,-14.519,-1.6504,0.0087175,-0.015058,-1.1619,-0.0020128,-0.00016077,-2.82E-05,-4.29E-06,1.68E-05,6.60E-05
42.6,0.86486,0.10529,-0.0030438,-0.00049466,-0.00039456,-0.031575,34.813,-14.595,-1.6588,0.0087157,-0.01507,-1.165,-0.0020051,-0.00016172,-2.80E-05,-4.22E-06,1.67E-05,6.60E-05
42.7,0.86466,0.10528,-0.0030466,-0.00049508,-0.0003929,-0.031568,34.857,-14.67,-1.6672,0.0087138,-0.015082,-1.1682,-0.0019973,-0.00016265,-2.77E-05,-4.14E-06,1.65E-05,6.60E-05
42.8,0.86447,0.10526,-0.0030493,-0.00049549,-0.00039126,-0.031562,34.9,-14.745,-1.6755,0.0087119,-0.015094,-1.1713,-0.0019896,-0.00016356,-2.75E-05,-4.07E-06,1.64E-05,6.59E-05
42.9,0.86427,0.10524,-0.003052,-0.00049589,-0.00038963,-0.031555,34.944,-14.821,-1.6839,0.00871,-0.015105,-1.1745,-0.0019819,-0.00016445,-2.72E-05,-4.00E-06,1.63E-05,6.59E-05
43,0.86407,0.10523,-0.0030547,-0.00049628,-0.00038801,-0.031549,34.987,-14.897,-1.6923,0.0087081,-0.015117,-1.1776,-0.0019743,-0.00016531,-2.70E-05,-3.93E-06,1.62E-05,6.59E-05
43.1,0.86387,0.10521,-0.0030574,-0.00049666,-0.00038641,-0.031542,35.03,-14.972,-1.7008,0.0087062,-0.015128,-1.1808,-0.0019666,-0.00016616,-2.67E-05,-3.86E-06,1.61E-05,6.58E-05
43.2,0.86368,0.10519,-0.0030601,-0.00049704,-0.00038481,-0.031535,35.072,-15.048,-1.7092,0.0087042,-0.015139,-1.184,-0.001959,-0.000167,-2.65E-05,-3.79E-06,1.59E-05,6.58E-05
43.3,0.86348,0.10518,-0.0030627,-0.00049741,-0.00038323,-0.031529,35.115,-15.124,-1.7176,0.0087023,-0.01515,-1.1871,-0.0019514,-0.00016781,-2.62E-05,-3.72E-06,1.58E-05,6.58E-05
43.4,0.86329,0.10516,-0.0030653,-0.00049778,-0.00038166,-0.031522,35.157,-15.2,-1.7261,0.0087003,-0.015161,-1.1903,-0.0019439,-0.0001686,-2.60E-05,-3.65E-06,1.57E-05,6.57E-05
43.5,0.86309,0.10514,-0.0030678,-0.00049814,-0.0003801,-0.031516,35.198,-15.277,-1.7345,0.0086983,-0.015172,-1.1934,-0.0019363,-0.00016937,-2.57E-05,-3.58E-06,1.56E-05,6.57E-05
43.6,0.8629,0.10513,-0.0030704,-0.00049849,-0.00037855,-0.031509,35.24,-15.353,-1.743,0.0086963,-0.015182,-1.1966,-0.0019288,-0.00017013,-2.55E-05,-3.51E-06,1.55E-05,6.56E-05
43.7,0.86271,0.10511,-0.0030729,-0.00049883,-0.00037702,-0.031503,35.281,-15.429,-1.7515,0.0086943,-0.015193,-1.1997,-0.0019214,-0.00017087,-2.52E-05,-3.45E-06,1.54E-05,6.56E-05
43.8,0.86252,0.10509,-0.0030754,-0.00049917,-0.00037549,-0.031496,35.322,-15.506,-1.76,0.0086923,-0.015203,-1.2029,-0.0019139,-0.00017159,-2.50E-05,-3.38E-06,1.52E-05,6.55E-05
43.9,0.86233,0.10507,-0.0030779,-0.0004995,-0.00037398,-0.03149,35.363,-15.583,-1.7685,0.0086903,-0.015213,-1.206,-0.0019065,-0.00017229,-2.47E-05,-3.31E-06,1.51E-05,6.55E-05
44,0.86214,0.10506,-0.0030803,-0.00049983,-0.00037248,-0.031483,35.404,-15.659,-1.777,0.0086882,-0.015223,-1.2092,-0.0018991,-0.00017298,-2.45E-05,-3.25E-06,1.50E-05,6.54E-05
44.1,0.86195,0.10504,-0.0030828,-0.00050015,-0.00037099,-0.031476,35.444,-15.736,-1.7855,0.0086862,-0.015233,-1.2123,-0.0018917,-0.00017365,-2.43E-05,-3.19E-06,1.49E-05,6.53E-05
44.2,0.86176,0.10502,-0.0030852,-0.00050046,-0.00036951,-0.03147,35.484,-15.813,-1.794,0.0086841,-0.015243,-1.2155,-0.0018843,-0.0001743,-2.40E-05,-3.12E-06,1.48E-05,6.53E-05
44.3,0.86157,0.105,-0.0030876,-0.00050076,-0.00036804,-0.031463,35.524,-15.89,-1.8025,0.0086821,-0.015253,-1.2186,-0.001877,-0.00017494,-2.38E-05,-3.06E-06,1.47E-05,6.52E-05
44.4,0.86138,0.10499,-0.0030899,-0.00050106,-0.00036658,-0.031457,35.564,-15.968,-1.8111,0.00868,-0.015262,-1.2218,-0.0018697,-0.00017555,-2.36E-05,-3.00E-06,1.46E-05,6.52E-05
44.5,0.8612,0.10497,-0.0030922,-0.00050136,-0.00036514,-0.03145,35.603,-16.045,-1.8196,0.0086779,-0.015272,-1.2249,-0.0018624,-0.00017616,-2.33E-05,-2.94E-06,1.45E-05,6.51E-05
44.6,0.86101,0.10495,-0.0030946,-0.00050164,-0.0003637,-0.031444,35.642,-16.123,-1.8282,0.0086758,-0.015281,-1.228,-0.0018551,-0.00017674,-2.31E-05,-2.87E-06,1.43E-05,6.50E-05
44.7,0.86083,0.10493,-0.0030968,-0.00050193,-0.00036228,-0.031437,35.681,-16.2,-1.8368,0.0086737,-0.01529,-1.2312,-0.0018479,-0.00017731,-2.29E-05,-2.81E-06,1.42E-05,6.49E-05
44.8,0.86064,0.10492,-0.0030991,-0.0005022,-0.00036087,-0.031431,35.719,-16.278,-1.8453,0.0086716,-0.015299,-1.2343,-0.0018407,-0.00017787,-2.26E-05,-2.75E-06,1.41E-05,6.49E-05
44.9,0.86046,0.1049,-0.0031013,-0.00050247,-0.00035946,-0.031424,35.758,-16.355,-1.8539,0.0086694,-0.015308,-1.2375,-0.0018335,-0.00017841,-2.24E-05,-2.70E-06,1.40E-05,6.48E-05
45,0.86028,0.10488,-0.0031036,-0.00050273,-0.00035807,-0.031418,35.796,-16.433,-1.8625,0.0086673,-0.015316,-1.2406,-0.0018263,-0.00017893,-2.22E-05,-2.64E-06,1.39E-05,6.47E-05
45.1,0.8601,0.10486,-0.0031058,-0.00050299,-0.00035669,-0.031411,35.834,-16.511,-1.8711,0.0086651,-0.015325,-1.2438,-0.0018192,-0.00017944,-2.20E-05,-2.58E-06,1.38E-05,6.47E-05
45.2,0.85992,0.10484,-0.0031079,-0.00050324,-0.00035532,-0.031405,35.871,-16.589,-1.8797,0.008663,-0.015333,-1.2469,-0.0018121,-0.00017994,-2.17E-05,-2.52E-06,1.37E-05,6.46E-05
45.3,0.85973,0.10483,-0.0031101,-0.00050349,-0.00035397,-0.031399,35.908,-16.668,-1.8884,0.0086608,-0.015342,-1.25,-0.001805,-0.00018042,-2.15E-05,-2.46E-06,1.36E-05,6.45E-05
45.4,0.85955,0.10481,-0.0031122,-0.00050373,-0.00035262,-0.031392,35.946,-16.746,-1.897,0.0086587,-0.01535,-1.2532,-0.0017979,-0.00018089,-2.13E-05,-2.41E-06,1.35E-05,6.44E-05
45.5,0.85938,0.10479,-0.0031143,-0.00050397,-0.00035128,-0.031386,35.982,-16.824,-1.9056,0.0086565,-0.015358,-1.2563,-0.0017909,-0.00018134,-2.11E-05,-2.35E-06,1.34E-05,6.43E-05
45.6,0.8592,0.10477,-0.0031164,-0.0005042,-0.00034995,-0.031379,36.019,-16.903,-1.9143,0.0086543,-0.015366,-1.2595,-0.0017839,-0.00018178,-2.09E-05,-2.30E-06,1.33E-05,6.42E-05
45.7,0.85902,0.10475,-0.0031185,-0.00050442,-0.00034864,-0.031373,36.055,-16.981,-1.9229,0.0086521,-0.015374,-1.2626,-0.0017769,-0.0001822,-2.07E-05,-2.24E-06,1.32E-05,6.42E-05
45.8,0.85884,0.10474,-0.0031205,-0.00050464,-0.00034733,-0.031366,36.091,-17.06,-1.9316,0.0086499,-0.015381,-1.2657,-0.0017699,-0.00018261,-2.04E-05,-2.19E-06,1.31E-05,6.41E-05
