3.9,4.1,-4.4983,-4.4983,-0.0038077+1.8275i,-0.0038077-1.8275i,-1.4661
2.2,6.1,-4.4978,-4.4978,-1.445,-0.014569+1.3825i,-0.014569-1.3825i
0.5,8.1,-4.4974,-4.4974,-1.3978,-0.038373+0.66909i,-0.038373-0.66909i
3.3,4.8,-4.4973,-4.4973,-1.46,-0.0072973+1.6847i,-0.0072973-1.6847i
4.4,3.5,-4.4969,-4.4969,-0.0024131+1.9386i,-0.0024131-1.9386i,-1.4703
1.6,6.8,-4.4968,-4.4968,-1.4332,-0.020975+1.1839i,-0.020975-1.1839i
2.7,5.5,-4.4964,-4.4964,-1.4526,-0.011511+1.5279i,-0.011511-1.5279i
3.8,4.2,-4.4959,-4.4959,-0.0054734+1.805i,-0.0054734-1.805i,-1.4651
1,7.5,-4.4958,-4.4958,-1.4169,-0.02962+0.94109i,-0.02962-0.94109i
4.9,2.9,-4.4955,-4.4955,-0.0012729+2.0436i,-0.0012729-2.0436i,-1.4739
2.1,6.2,-4.4954,-4.4954,-1.4431,-0.016744+1.352i,-0.016744-1.352i
3.2,4.9,-4.4949,-4.4949,-1.4588,-0.0090987+1.6601i,-0.0090987-1.6601i
0.4,8.2,-4.4947,-4.4947,-1.3927,-0.042278+0.59923i,-0.042278-0.59923i
4.3,3.6,-4.4946,-4.4946,-0.0039933+1.9175i,-0.0039933-1.9175i,-1.4694
1.5,6.9,-4.4943,-4.4943,-1.4307,-0.023496+1.1476i,-0.023496-1.1476i
5.4,2.3,-4.4942,-4.4942,-0.00033553+2.1433i,-0.00033553-2.1433i,-1.4771
2.6,5.6,-4.4939,-4.4939,-1.451,-0.013492+1.5005i,-0.013492-1.5005i
3.7,4.3,-4.4936,-4.4936,-0.0071651+1.7821i,-0.0071651-1.7821i,-1.4641
4.8,3,-4.4932,-4.4932,-0.0027817+2.0237i,-0.0027817-2.0237i,-1.4732
0.9,7.6,-4.4932,-4.4932,-1.4133,-0.032706+0.89403i,-0.032706-0.89403i
2,6.3,-4.4929,-4.4929,-1.4412,-0.018975+1.3206i,-0.018975-1.3206i
3.1,5,-4.4925,-4.4925,-1.4576,-0.010933+1.6351i,-0.010933-1.6351i
4.2,3.7,-4.4922,-4.4922,-0.0055957+1.8961i,-0.0055957-1.8961i,-1.4685
0.3,8.3,-4.492,-4.492,-1.387,-0.046448+0.51939i,-0.046448-0.51939i
5.3,2.4,-4.492,-4.492,-0.0017834+2.1244i,-0.0017834-2.1244i,-1.4764
1.4,7,-4.4917,-4.4917,-1.428,-0.026102+1.1099i,-0.026102-1.1099i
2.5,5.7,-4.4915,-4.4915,-1.4495,-0.015515+1.4725i,-0.015515-1.4725i
3.6,4.4,-4.4912,-4.4912,-0.0088838+1.759i,-0.0088838-1.759i,-1.463
4.7,3.1,-4.4909,-4.4909,-0.0043097+2.0035i,-0.0043097-2.0035i,-1.4724
